nome;tipo;marca;categoria;cor;modelo
Frasqueira 5014 - Preta - Di Metallo;Frasqueira;Di Metallo;None;None;None
Imaginext - HelicÛptero Aventura - Mattel;HelicÛptero;Mattel;Brinquedos;None;None
Cartucho de Toner Laserjet 53X Q7553XB Preto HP;Cartucho;HP;Inform·tica;None;None
Pilha D-R20 Zinco-Carv„o Bandeja c/24 Unidades - Elgin;Bandeja;Elgin;None;None;None
Cama Pet Maria Chiquinha G - FerPet;Cama;FerPet;Casa e DecoraÁ„o;None;None
Frigideira Italiana Funda de AlumÌnio Antiaderente 26 cm - Tramontina;Frigideira;Tramontina;Casa e DecoraÁ„o;None;None
Secador  220v ass 1282 3500 violeta parlux;Secador;Parlux;EletrodomÈsticos;None;None
Creme DepilatÛrio Facial c/ ”leo de Semente de Algod„o 30g - Depilart;Creme de Tratamento;Depilart;CosmÈticos e Perfumaria;None;None
TV H-Buster HBTV-40D02FD LED Plana 40 Polegadas;TV;HBuster;EletrÙnicos;None;None
Travesseiro Chinchila 50x70cm com Plumas SintÈticas - Fibrasca;Travesseiro;Fibrasca;Casa e DecoraÁ„o;None;None
Tapete Tufting Clemant Castor Anti·caro e proteÁ„o U.V - Tapetes S„o Carlos;Tapete;Castor;Casa e DecoraÁ„o;None;None
Arlen Platinum 15;Subwoofer;Arlen;EletrÙnicos;None;None
Saia para Cama Tipo Box Solteiro, Ponto Palito, Percal 180 Fio - Plumasul;Saia para Cama;Plumasul;Casa e DecoraÁ„o;None;None
Incasa Mini Gam„o;Game;Incasa;None;None;None
CORTADOR DE CABELO MONDIAL CR02 PRATA/PRETO 220V;M·quina de cortar cabelo;Mondial;CosmÈticos e Perfumaria;None;None
Perfume Halle Halle Berry Eau de Parfum Feminino 50 ml;Perfume;Halle Berry;CosmÈticos e Perfumaria;None;None
Carrinho vivo  rm197k 879i fit red infanti;Carrinho de BebÍ;Infanti;BebÍs e Cia;None;None
CD/MP3 Player Automotivo 4x24W RMS c/ Entrada USB Frontal, Auxiliar e Controle Remoto LCS500UN - LG;Aparelho de Som;LG;EletrÙnicos;None;lcs500un
CÙmoda c/ 4 Gavetas, CorrediÁas Met·licas e Puxador em AlumÌnio - 801007 - Branca c/ Preto - Manbel;CÙmoda;Manbel;Casa e DecoraÁ„o;None;None
Mesa de Centro Saara Tabaco Brilhante c/ Branco - Artely;Mesa de Centro;Artely;Casa e DecoraÁ„o;None;None
Aquecedor a Ûleo A04 110V - Mondial;Aquecedor;Mondial;EletrodomÈsticos;None;None
HP 88 C9393AL Amarelo;Cartucho;HP;Inform·tica;Amarelo;c9393al
Escova de Limpeza Azul - Tip Top;Escova;Tip Top;None;None;None
Volante para Wii Verde - Memorex;Volante;Wii;AutomÛveis e VeÌculos;None;None
Pula Pula da Barbie - LÌder;Barbie;LÌder;Brinquedos;None;None
Travesseiro Performance de Latex 50x70cm - Fibrasca;Travesseiro;Fibrasca;Casa e DecoraÁ„o;None;None
Apple Macbook Air MC969BZ Intel Core i5 1.6 GHz 4096 MB 128 GB;Notebook;Apple;Inform·tica;None;mc969bz
Grade de cama s41773 branco/azul/verde safety 1st;Grade;Safety;None;None;s41773
Torre Chopp Beer 3,5 Litros Gr·tis Churrasqueira - Mariz;Churrasqueira;Mariz;Esporte e Lazer;None;None
Colch„o Individuale Uniface Queen (158x198x28) - Mola Pocket, Pillow Top - Paropas;Colch„o;Paropas;Casa e DecoraÁ„o;None;None
Electrolux Easyline SC200 Arroz;Panela;Electrolux;EletrodomÈsticos;Branco;sc200/220v
Cartucho de toner HP Magenta - CC533A;Cartucho;HP;Inform·tica;None;cc533a
Piscina Redonda  Easy Set 5621 L - Intex;Piscina;Intex;Esporte e Lazer;None;None
Mouse ”ptico PS/2 Preto/Prata, 800 CPI, 3 Botıes c/Scroll. 6286 - Clone;Mouse;Clone;None;None;None
Impressora Multifuncional HP Deskjet 3050 Wireless CH383C - HP;Impressora;HP;Inform·tica;None;None
Ar Condicionado 7000 BTUs CBV07 Frio Un. Interna 220v - Consul;Ar-Condicionado;Consul;EletrodomÈsticos;None;None
